Annee;Secteur;Sous-secteur;Categorie;GES;Emissions(t);Emissions(t_eq_CO2)
1990;Transports;Transport routier;Automobiles;Dioxyde de carbone (CO2);10324089.7320081;10324089.7320081
1990;Transports;Transport routier;Automobiles;Méthane (CH4);1748.35550393356;43708.8875983391
1990;Transports;Transport routier;Automobiles;Oxyde nitreux (N2O);1645.10831913772;490242.279103041
1990;Transports;Transport routier;Camions légers;Dioxyde de carbone (CO2);3435236.65942702;3435236.65942702
1990;Transports;Transport routier;Camions légers;Méthane (CH4);489.084449213731;12227.1112303433
1990;Transports;Transport routier;Camions légers;Oxyde nitreux (N2O);635.893115950877;189496.148553361
1990;Transports;Transport routier;Véhicules lourds;Dioxyde de carbone (CO2);3564151.15647379;3564151.15647379
1990;Transports;Transport routier;Véhicules lourds;Méthane (CH4);284.602528795344;7115.0632198836
1990;Transports;Transport routier;Véhicules lourds;Oxyde nitreux (N2O);104.581554718335;31165.3033060639
1990;Transports;Transport routier;Autres transports routiers;Dioxyde de carbone (CO2);17717.5047338284;17717.5047338284
1990;Transports;Transport routier;Autres transports routiers;Méthane (CH4);16.806880761026;420.172019025651
1990;Transports;Transport routier;Autres transports routiers;Oxyde nitreux (N2O);0.365121740145817;108.806278563454
1990;Transports;Autres transports;Véhicules hors route - Agriculture et foresterie;Dioxyde de carbone (CO2);995350.672646017;995350.672646017
1990;Transports;Autres transports;Véhicules hors route - Agriculture et foresterie;Méthane (CH4);29.9175557687584;747.938894218961
1990;Transports;Autres transports;Véhicules hors route - Agriculture et foresterie;Oxyde nitreux (N2O);8.19259468107863;2441.39321496143
1990;Transports;Autres transports;Véhicules hors route - Commercial et institutionnel;Dioxyde de carbone (CO2);353371.338502762;353371.338502762
1990;Transports;Autres transports;Véhicules hors route - Commercial et institutionnel;Méthane (CH4);185.787486927492;4644.68717318731
1990;Transports;Autres transports;Véhicules hors route - Commercial et institutionnel;Oxyde nitreux (N2O);4.7145179371789;1404.92634527931
1990;Transports;Autres transports;Véhicules hors route - Fabrication, mines et construction;Dioxyde de carbone (CO2);2021564.25255289;2021564.25255289
1990;Transports;Autres transports;Véhicules hors route - Fabrication, mines et construction;Méthane (CH4);111.65795540251;2791.44888506275
1990;Transports;Autres transports;Véhicules hors route - Fabrication, mines et construction;Oxyde nitreux (N2O);21.0477623901898;6272.23319227655
1990;Transports;Autres transports;Véhicules hors route - Résidentiel;Dioxyde de carbone (CO2);60144.0269950303;60144.0269950303
1990;Transports;Autres transports;Véhicules hors route - Résidentiel;Méthane (CH4);34.3825824918768;859.564562296921
1990;Transports;Autres transports;Véhicules hors route - Résidentiel;Oxyde nitreux (N2O);0.769866631647387;229.420256230921
1990;Transports;Autres transports;Véhicules hors route - Autres;Dioxyde de carbone (CO2);3078434.29900457;3078434.29900457
1990;Transports;Autres transports;Véhicules hors route - Autres;Méthane (CH4);9455.00652558929;236375.163139732
1990;Transports;Autres transports;Véhicules hors route - Autres;Oxyde nitreux (N2O);34.8668029788759;10390.307287705
1990;Transports;Autres transports;Pipelines;Dioxyde de carbone (CO2);25254.9;25254.9
1990;Transports;Autres transports;Pipelines;Méthane (CH4);19.9238;498.095
1990;Transports;Autres transports;Pipelines;Oxyde nitreux (N2O);0.5662;168.7276
1990;Transports;Transport aérien;Transport aérien intérieur;Dioxyde de carbone (CO2);921147.391771612;921147.391771612
1990;Transports;Transport aérien;Transport aérien intérieur;Méthane (CH4);87.3917156080239;2184.7928902006
1990;Transports;Transport aérien;Transport aérien intérieur;Oxyde nitreux (N2O);30.8709022411281;9199.52886785617
1990;Transports;Transport aérien;Transport aérien militaire;Dioxyde de carbone (CO2);19429.2198874186;19429.2198874186
1990;Transports;Transport aérien;Transport aérien militaire;Méthane (CH4);0.775165017371185;19.3791254342796
1990;Transports;Transport aérien;Transport aérien militaire;Oxyde nitreux (N2O);0.545066698149195;162.42987604846
1990;Transports;Transport ferroviaire;Transport ferroviaire;Dioxyde de carbone (CO2);571864.617226753;571864.617226753
1990;Transports;Transport ferroviaire;Transport ferroviaire;Méthane (CH4);31.7880350556934;794.700876392335
1990;Transports;Transport ferroviaire;Transport ferroviaire;Oxyde nitreux (N2O);219.529450149722;65419.7761446172
1990;Transports;Transport maritime;Transport maritime intérieur;Dioxyde de carbone (CO2);620543.64792433;620543.64792433
1990;Transports;Transport maritime;Transport maritime intérieur;Méthane (CH4);56.8201296356687;1420.50324089172
1990;Transports;Transport maritime;Transport maritime intérieur;Oxyde nitreux (N2O);16.2343227530482;4837.82818040836
1990;Transports;Transport maritime;Transport maritime pêcheries;Dioxyde de carbone (CO2);67631.5929522811;67631.5929522811
1990;Transports;Transport maritime;Transport maritime pêcheries;Méthane (CH4);6.35643619192993;158.910904798248
1990;Transports;Transport maritime;Transport maritime pêcheries;Oxyde nitreux (N2O);1.81612462626569;541.205138627176
1990;Transports;Transport maritime;Transport maritime militaire;Dioxyde de carbone (CO2);3471.9225343099;3471.9225343099
1990;Transports;Transport maritime;Transport maritime militaire;Méthane (CH4);0.326312793907366;8.15781984768415
1990;Transports;Transport maritime;Transport maritime militaire;Oxyde nitreux (N2O);0.0932322268306759;27.7832035955414
1990;Industries;Combustion industrielle;Industries de raffinage du pétrole;Dioxyde de carbone (CO2);3114689.933;3114689.933
1990;Industries;Combustion industrielle;Industries de raffinage du pétrole;Méthane (CH4);55.85954;1396.4885
1990;Industries;Combustion industrielle;Industries de raffinage du pétrole;Oxyde nitreux (N2O);43.36456;12922.63888
1990;Industries;Combustion industrielle;Exploitation minière;Dioxyde de carbone (CO2);425069.2344;425069.2344
1990;Industries;Combustion industrielle;Exploitation minière;Méthane (CH4);11.9814088;299.53522
1990;Industries;Combustion industrielle;Exploitation minière;Oxyde nitreux (N2O);9.3960888;2800.0344624
1990;Industries;Combustion industrielle;Production de métaux ferreux;Dioxyde de carbone (CO2);2178816.55554;2178816.55554
1990;Industries;Combustion industrielle;Production de métaux ferreux;Méthane (CH4);29.07383;726.84575
1990;Industries;Combustion industrielle;Production de métaux ferreux;Oxyde nitreux (N2O);18.77272;5594.27056
1990;Industries;Combustion industrielle;Usines de pâtes et papiers;Dioxyde de carbone (CO2);4435481.3771;4435481.3771
1990;Industries;Combustion industrielle;Usines de pâtes et papiers;Méthane (CH4);928.74364;23218.591
1990;Industries;Combustion industrielle;Usines de pâtes et papiers;Oxyde nitreux (N2O);188.36072;56131.49456
1990;Industries;Combustion industrielle;Industries chimiques;Dioxyde de carbone (CO2);1872011.2084;1872011.2084
1990;Industries;Combustion industrielle;Industries chimiques;Méthane (CH4);46.42763;1160.69075
1990;Industries;Combustion industrielle;Industries chimiques;Oxyde nitreux (N2O);33.77515;10064.9947
1990;Industries;Combustion industrielle;Production de minéraux non métalliques;Dioxyde de carbone (CO2);1056309.93958;1056309.93958
1990;Industries;Combustion industrielle;Production de minéraux non métalliques;Méthane (CH4);15.50375;387.59375
1990;Industries;Combustion industrielle;Production de minéraux non métalliques;Oxyde nitreux (N2O);10.90974;3251.10252
