id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
676,677.0,358.0,15.0,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,0.0365971627080155,0.5077238184659449,6.577952018e-07,-7.90003892e-07,Alp,21.0,And,1,676,,114.49855346901884,Alp,2.083,2.063
744,746.0,432.0,21.0,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.0400258528303232,1.0323584043676326,2.5374663227e-06,-8.74700842e-07,Bet,11.0,Cas,1,744,,30.06076302628229,Bet,2.303,2.263
1065,1067.0,886.0,39.0,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4.0,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,0.0577524133796261,0.2650037404493388,2.2786243e-08,-3.9948647e-08,Gam,88.0,Peg,1,1065,,926.4031007363994,Gam,2.846,2.816
1472,1475.0,1326.0,,Gl 15A,,Groombridge 34,0.306174,44.022954,3.5873,2888.92,410.58,12.0,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-1.7e-07,5.039e-05,1.366e-05,0.0801562054445776,0.7683454902950787,1.40058793803e-05,1.990548009e-06,,,And,1,1472,Gl  15,0.0065102849843486,GX,8.125,8.065
2076,2081.0,2261.0,99.0,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,0.114682902957825,-0.7383786688321162,1.1284523229e-06,-1.714495099e-06,Alp,,Phe,1,2076,,64.44659847416881,,,
2914,2920.0,3360.0,153.0,,17Zet Cas,Fulu,0.616188,53.896909,181.8182,17.77,-9.15,2.0,3.69,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,5.11e-06,1.67e-05,-3.1e-06,0.1613176818246715,0.9406785238460538,8.6151391e-08,-4.4360451e-08,Zet,17.0,Cas,1,2914,,962.0552191862148,,,
3172,3179.0,3712.0,168.0,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,0.1767448813314833,0.9867625763100912,2.441521695e-07,-1.55964561e-07,Alp,18.0,Cas,1,3172,,542.0008904016238,Alp,2.25,2.23
3413,3419.0,4128.0,188.0,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,7.82e-06,3.545e-05,2.5e-07,0.1901946422304609,-0.3139254704026524,1.128597767e-06,1.58582554e-07,Bet,16.0,Cet,1,3413,,116.0913870126182,,,
3759,3765.0,4628.0,222.0,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10.0,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-1.198e-05,2.545e-05,-4.201e-05,0.2111103189642107,0.0921641160815062,3.6750816241e-06,-5.532790685e-06,,,Psc,1,3759,,0.2447935666196065,,,
3814,3821.0,4614.0,219.0,Gl 34A,24Eta Cas,Achird,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,1.105e-05,3.451e-05,-1.5e-06,0.2142198755075235,1.0090653769770737,5.2704580027e-06,-2.713259763e-06,Eta,24.0,Cas,1,3814,Gl  34,1.2752637064597296,Eta,3.507,3.457
3820,3829.0,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54.0,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,5.345e-05,3.772e-05,-5.057e-05,0.2145225144570207,0.0940489788001337,5.9779950881e-06,-1.3141165699e-05,,,Psc,1,3820,,0.0001783199772233,,12.621,12.091
4412,4422.0,5395.0,265.0,,28Ups2Cas,Castula,0.944432,59.181056,61.2745,-92.56,-45.33,-47.0,4.62,0.684,G8III-IV,0.957,30.437701,7.68286,52.6216,-5.94e-06,-2.986e-05,-4.818e-05,0.2472518134940012,1.0329042740471412,-4.487435427e-07,-2.19766041e-07,Ups-2,28.0,Cas,1,4412,,46.38739667560309,,,
4417,4427.0,5394.0,264.0,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-5.89e-06,2.01e-05,-7.77e-06,0.2474379511037043,1.0597070289510324,1.243547091e-07,-1.8519882e-08,Gam,27.0,Cas,1,4417,,3407.218616593573,Gam,2.173,2.133
5337,5348.0,6882.0,338.0,,Zet Phe,Wurren,1.139742,-55.24576,91.5751,21.17,29.7,15.0,3.94,-0.869,B6V + B0V,-0.12,49.896436,15.346501,-75.238648,1.595e-05,1.474e-05,-5.09e-06,0.2983838460567415,-0.9642204110904488,1.026350562e-07,1.43989663e-07,Zet,,Phe,1,5337,,193.9099078614849,Zet,4.199,3.929
5436,5447.0,6860.0,337.0,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,2.23e-06,5.471e-05,-2.725e-05,0.3042617927379897,0.6216960120690613,8.512843417e-07,-5.44106393e-07,Bet,43.0,And,1,5436,,474.2419852602448,,,
5725,5737.0,7344.0,361.0,,86Zet Psc,Revati,1.228857,7.575354,53.3049,141.66,-55.62,9.0,5.21,1.576,A7IV,0.32,50.128801,16.707567,7.027196,-1.12e-06,3.821e-05,-1.303e-05,0.3217139943867739,0.1322148645330212,6.867870599e-07,-2.69653369e-07,Zet,86.0,Psc,1,5725,,20.398583002685616,,5.256,5.036
6397,6411.0,8207.0,390.0,,46Xi  And,Adhil,1.372337,45.528778,65.7462,32.21,8.73,-13.0,4.87,0.781,K0III-IV,1.077,43.117698,16.194066,46.916563,-1.419e-05,5.64e-06,-7.54e-06,0.3592768833867569,0.7946270763370474,1.561584865e-07,4.2324234e-08,Xi,46.0,And,1,6397,,42.42286549229506,,,
6672,6686.0,8538.0,403.0,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7.0,2.66,0.24,A5Vv SB,0.16,14.082378,5.53413,26.457567,-6.85e-06,4.45e-05,2.58e-06,0.3744295872766107,1.0513040155749624,1.4410601841e-06,-2.3993429e-07,Del,37.0,Cas,1,6672,,69.82324040771711,Del,2.666,2.656
7083,7097.0,9270.0,437.0,,99Eta Psc,Alpherg,1.524725,15.345823,107.1811,25.73,-3.29,15.0,3.62,-1.531,G8III,0.974,95.233975,40.171366,28.364911,8.85e-06,1.824e-05,2.41e-06,0.3991719864974001,0.2678351374342624,1.2474256e-07,-1.595037e-08,Eta,99.0,Psc,1,7083,,356.77958828856265,,,
7499,7513.0,9826.0,458.0,Gl 61,50Ups And,Titawin,1.613299,41.405459,13.4916,-172.57,-381.01,-28.7,4.1,3.45,F8V,0.536,9.229933,4.147969,8.92295,-4.2e-07,-1.256e-05,-3.81e-05,0.4223606833740253,0.7226615840997149,-8.366429685e-07,-1.847188604e-06,Ups,50.0,And,1,7499,,3.630780547701012,,,
7574,7588.0,10144.0,472.0,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16.0,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-5.84e-06,1.738e-05,-1.826e-05,0.4263550659137642,-0.9989698692415762,4.267330016e-07,-1.94313323e-07,Alp,,Eri,1,7574,,1051.9618738232234,Alp,0.487,0.427
7593,7607.0,9927.0,464.0,,51    And,Nembus,1.633205,48.628213,54.3183,60.9,-112.42,16.0,3.59,-0.085,K3III,1.275,32.669331,14.886999,40.762548,2.341e-05,2.829e-05,-7.29e-06,0.4275720594509002,0.8487224280090337,2.952515315e-07,-5.45027539e-07,,51.0,And,1,7593,,94.18895965228413,,,
7736,7751.0,10360.0,486.0,Gl 66B,,p Eridani,1.663169,-56.1964,7.8223,286.1,16.66,22.5,5.76,6.293,K0V,0.88,3.945945,1.835674,-6.500103,7.51e-06,1.546e-05,-1.877e-05,0.4354167347044755,-0.9808122092628588,1.3870519401e-06,8.0769959e-08,,,Eri,2,118084,Gl 66,0.2647280740017561,,,
8183,8198.0,10761.0,510.0,,110Omi Psc,Torcular,1.756564,9.157736,85.6898,70.82,38.99,14.0,4.26,-0.405,K0III,0.942,75.808974,37.546943,13.637807,-2.7e-06,3.149e-05,1.827e-05,0.459867349269175,0.1598326410024725,3.433450486e-07,1.89028854e-07,Omi,110.0,Psc,1,8183,,126.4736347471151,,,
8628,8645.0,11353.0,539.0,,55Zet Cet,Baten Kaitos,1.857676,-10.335038,72.0461,38.78,-38.04,9.0,3.74,-0.548,K2III,1.136,62.65906,33.12747,-12.925362,-4.3e-07,1.509e-05,-1.472e-05,0.4863384110940215,-0.180380435702335,1.880107453e-07,-1.84423124e-07,Zet,55.0,Cet,1,8628,,144.27796231294775,,,
8777,8796.0,11443.0,544.0,Gl 78.1,2Alp Tri,Mothallah,1.884696,29.578829,19.4175,12.02,-233.69,-16.2,3.42,1.979,F6IV,0.488,14.872602,7.99818,9.584806,-3.66e-06,-6.9e-07,-2.731e-05,0.4934123459027885,0.5162479585904625,5.82746044e-08,-1.13296109e-06,Alp,2.0,Tri,1,8777,,14.073431383183484,Alp,3.429,3.409
8813,8832.0,11502.0,546.0,,5Gam2Ari,Mesarthim,1.89217,19.293852,50.3018,79.43,-99.1,-1.0,3.88,0.372,A1p Si,-0.047,41.769649,22.568336,16.620371,-3.03e-06,2.038e-05,-2.315e-05,0.4953689125156816,0.3367412380593763,3.850875065e-07,-4.80450357e-07,Gam-2,5.0,Ari,1,8813,,61.83010727517132,Gam,3.892,3.872
