Annee;Secteur;Sous-secteur;Categorie;Emissions(t_eq_CO2)
1990;Transports;Transport routier;Automobiles;10858040.8987094
1990;Transports;Transport routier;Camions légers;3636959.91921073
1990;Transports;Transport routier;Véhicules lourds;3602431.52299974
1990;Transports;Transport routier;Autres transports routiers;18246.4830314175
1990;Transports;Autres transports;Véhicules hors route - Agriculture et foresterie;998540.004755198
1990;Transports;Autres transports;Véhicules hors route - Commercial et institutionnel;359420.952021229
1990;Transports;Autres transports;Véhicules hors route - Fabrication, mines et construction;2030627.93463023
1990;Transports;Autres transports;Véhicules hors route - Résidentiel;61233.0118135581
1990;Transports;Autres transports;Véhicules hors route - Autres;3325199.76943201
1990;Transports;Autres transports;Pipelines;25921.7226
1990;Transports;Transport aérien;Transport aérien intérieur;932531.713529669
1990;Transports;Transport aérien;Transport aérien militaire;19611.0288889013
1990;Transports;Transport ferroviaire;Transport ferroviaire;638079.094247763
1990;Transports;Transport maritime;Transport maritime intérieur;626801.97934563
1990;Transports;Transport maritime;Transport maritime pêcheries;68331.7089957065
1990;Transports;Transport maritime;Transport maritime militaire;3507.86355775313
1990;Industries;Combustion industrielle;Industries de raffinage du pétrole;3129009.06038
1990;Industries;Combustion industrielle;Exploitation minière;428168.8040824
1990;Industries;Combustion industrielle;Production de métaux ferreux;2185137.67185
1990;Industries;Combustion industrielle;Usines de pâtes et papiers;4514831.46266
1990;Industries;Combustion industrielle;Industries chimiques;1883236.89385
1990;Industries;Combustion industrielle;Production de minéraux non métalliques;1059948.63585
1990;Industries;Combustion industrielle;Production de métaux non ferreux;684186.35886
1990;Industries;Combustion industrielle;Autres manufacturiers;3333581.12589731
1990;Industries;Combustion industrielle;Construction;457632.9375
1990;Industries;Combustion industrielle;Agriculture et foresterie;289437.495
1990;Industries;Procédés industriels et utilisation des produits;Production d'aluminium et de magnésium;10642170.37559
1990;Industries;Procédés industriels et utilisation des produits;Production de minéraux non métalliques;1665062.245
1990;Industries;Procédés industriels et utilisation des produits;Production de métaux ferreux;844756.10952
1990;Industries;Procédés industriels et utilisation des produits;Autres utilisations non énergétiques;714278.064580483
1990;Industries;Procédés industriels et utilisation des produits;Fabrication et utilisation d'autres produits;80167.0921732948
1990;Industries;Émissions fugitives;Pétrole et gaz naturel;165062.750926043
1990;Résidentiel, commercial et institutionnel;Résidentiel;Énergie fossile;6146945.4319
1990;Résidentiel, commercial et institutionnel;Résidentiel;Chauffage au bois;816698.974270141
1990;Résidentiel, commercial et institutionnel;Commercial et institutionnel;Commerces et Institutions;3873498.20385612
1990;Résidentiel, commercial et institutionnel;Commercial et institutionnel;Administration publique;378203.6288391
1990;Agriculture;Fermentation entérique;Fermentation entérique;3261569.612615
1990;Agriculture;Gestion du fumier;Gestion du fumier;1513618.82111018
1990;Agriculture;Gestion des sols agricoles;Gestion des sols agricoles;2079369.10649035
1990;Agriculture;Chaulage, urée et autres engrais carbonés;Chaulage, urée et autres engrais carbonés;263286.026666667
1990;Matières résiduelles;Lieux d'enfouissement municipaux ;Lieux d'enfouissement municipaux ;5670687.95084382
1990;Matières résiduelles;Lieux d'enfouissement réservés aux usines de pâtes et papiers;Lieux d'enfouissement réservés aux usines de pâtes et papiers;54889.7852627933
1990;Matières résiduelles;Traitement et rejet des eaux usées municipales;Traitement et rejet des eaux usées municipales;301195.953599756
1990;Matières résiduelles;Incinération des matières résiduelles;Incinération des matières résiduelles;215596.39392
1990;Électricité;Électricité;Centrales thermiques publiques;1392746.6366634
1991;Transports;Transport routier;Automobiles;10162205.3342442
1991;Transports;Transport routier;Camions légers;3454165.60411539
1991;Transports;Transport routier;Véhicules lourds;3367633.24179091
1991;Transports;Transport routier;Autres transports routiers;18139.2434865279
1991;Transports;Autres transports;Véhicules hors route - Agriculture et foresterie;978991.132861322
1991;Transports;Autres transports;Véhicules hors route - Commercial et institutionnel;341165.57159749
1991;Transports;Autres transports;Véhicules hors route - Fabrication, mines et construction;1997899.2476952
1991;Transports;Autres transports;Véhicules hors route - Résidentiel;60109.2742914715
1991;Transports;Autres transports;Véhicules hors route - Autres;3113777.12671486
1991;Transports;Autres transports;Pipelines;27757.458
1991;Transports;Transport aérien;Transport aérien intérieur;827778.908310832
1991;Transports;Transport aérien;Transport aérien militaire;17404.1720092303
1991;Transports;Transport ferroviaire;Transport ferroviaire;543676.545700079
1991;Transports;Transport maritime;Transport maritime intérieur;642732.507016632
1991;Transports;Transport maritime;Transport maritime pêcheries;68122.2657339807
1991;Transports;Transport maritime;Transport maritime militaire;3504.41890985393
1991;Industries;Combustion industrielle;Industries de raffinage du pétrole;2941346.19832
1991;Industries;Combustion industrielle;Exploitation minière;563148.292804
1991;Industries;Combustion industrielle;Production de métaux ferreux;1920101.64362
1991;Industries;Combustion industrielle;Usines de pâtes et papiers;4478011.28781
1991;Industries;Combustion industrielle;Industries chimiques;1890277.61526
